LimitBreakConfigId,Stage,RequiredLevel,BreakThroughStoneCost,SuccessRate
LB_D,1,25,10,1
LB_D,2,50,20,1
LB_C,1,25,20,1
LB_C,2,50,40,1
LB_C,3,75,60,0.9
LB_C,4,100,80,0.9
LB_B,1,25,30,1
LB_B,2,50,60,1
LB_B,3,75,90,0.9
LB_B,4,100,120,0.9
LB_B,5,125,150,0.85
LB_B,6,150,180,0.85
LB_B,7,175,210,0.8
LB_B,8,200,240,0.8
LB_A,1,25,40,1
LB_A,2,50,80,1
LB_A,3,75,120,0.9
LB_A,4,100,160,0.9
LB_A,5,125,200,0.85
LB_A,6,150,240,0.85
LB_A,7,175,280,0.8
LB_A,8,200,320,0.8
LB_A,9,225,360,0.8
LB_A,10,250,400,0.75
LB_A,11,275,440,0.75
LB_A,12,300,480,0.7
LB_S,1,25,50,1
LB_S,2,50,100,1
LB_S,3,75,150,0.9
LB_S,4,100,200,0.9
LB_S,5,125,250,0.85
LB_S,6,150,300,0.85
LB_S,7,175,350,0.8
LB_S,8,200,400,0.8
LB_S,9,225,450,0.8
LB_S,10,250,500,0.75
LB_S,11,275,550,0.75
LB_S,12,300,600,0.7
LB_S,13,325,650,0.7
LB_S,14,350,700,0.65
LB_S,15,375,750,0.65
LB_S,16,400,800,0.6
LB_SS,1,25,60,1
LB_SS,2,50,120,1
LB_SS,3,75,180,0.9
LB_SS,4,100,240,0.9
LB_SS,5,125,300,0.85
LB_SS,6,150,360,0.85
LB_SS,7,175,420,0.8
LB_SS,8,200,480,0.8
LB_SS,9,225,540,0.8
LB_SS,10,250,600,0.75
LB_SS,11,275,660,0.75
LB_SS,12,300,720,0.7
LB_SS,13,325,780,0.7
LB_SS,14,350,840,0.65
LB_SS,15,375,900,0.65
LB_SS,16,400,960,0.6
LB_SS,17,425,1020,0.6
LB_SS,18,450,1080,0.55
LB_SS,19,475,1140,0.55
LB_SS,20,500,1200,0.5
EXC_LB_COMMON,1,25,80,1
EXC_LB_COMMON,2,50,160,1
EXC_LB_COMMON,3,75,240,0.9
EXC_LB_COMMON,4,100,320,0.9
EXC_LB_COMMON,5,125,400,0.85
EXC_LB_COMMON,6,150,480,0.85
EXC_LB_COMMON,7,175,560,0.8
EXC_LB_COMMON,8,200,640,0.8
EXC_LB_COMMON,9,225,720,0.8
EXC_LB_COMMON,10,250,800,0.75
EXC_LB_COMMON,11,275,880,0.75
EXC_LB_COMMON,12,300,960,0.7
EXC_LB_COMMON,13,325,1040,0.7
EXC_LB_COMMON,14,350,1120,0.65
EXC_LB_COMMON,15,375,1200,0.65
EXC_LB_COMMON,16,400,1280,0.6
EXC_LB_COMMON,17,425,1360,0.6
EXC_LB_COMMON,18,450,1440,0.55
EXC_LB_COMMON,19,475,1520,0.55
EXC_LB_COMMON,20,500,1600,0.5
