HeroID,HeroNameEN,HeroNameCN,Model,SoundCount,"Aoyi(1,het)",skill1(2),skill2(3),skill3(4),"win(5,thang)","idle(6,dungmay)"
1,test,test,hero_edward_racham,0,,,,,,
1001101,Naval Sailor,????,hero_navy_sailor,0,,,,,,
1001102,Holy Knight,????,hero_crusader,0,,,,,,
1001103,Naval Musketeer,?????,hero_musketeer,0,,,,,,
1001104,Alchemist,????,hero_alchemist,0,,,,,,
1001201,Edward Rackham,???·????,hero_edward_racham,3,1001201_skilltalk1,,,,1001201_skilltalk5,1001201_skilltalk6
1001202,Nottingham Wood,???·??,hero_nottingham_wood,3,1001202_skilltalk1,,,,1001202_skilltalk5,1001202_skilltalk6
1001203,Antony Capulet,????·????,hero_antonio_capulet,3,1001203_skilltalk1,,,,1001203_skilltalk5,1001203_skilltalk6
1001204,Annie Reed,??·??,hero_annie_reed,3,1001204_skilltalk1,,,,1001204_skilltalk5,1001204_skilltalk6
1001301,Riddle Polonius,???·????,hero_riedel_polonier,3,1001301_skilltalk1,,,,1001301_skilltalk5,1001301_skilltalk6
1001302,Hansen Ramsey,??·???,hero_female_pirate,3,1001302_skilltalk1,,,,1001302_skilltalk5,1001302_skilltalk6
1001303,Jon Fenrir,??·???,hero_jon_finriel,3,1001303_skilltalk1,,,,1001303_skilltalk5,1001303_skilltalk6
1001304,Charlie Farrar,??·???,hero_richard_faral,3,1001304_skilltalk1,,,,1001304_skilltalk5,1001304_skilltalk6
1001305,Arya Amber,???·??,hero_rlia_amber,3,1001305_skilltalk1,,,,1001305_skilltalk5,1001305_skilltalk6
1001306,Emily Cowell,???·???,hero_emily_cowell,3,1001306_skilltalk1,,,,1001306_skilltalk5,1001306_skilltalk6
1001307,Jack Gray,??·??,hero_jack_gray,3,1001307_skilltalk1,,,,1001307_skilltalk5,1001307_skilltalk6
1001308,Robert Mormont,???·???,hero_robert_mormont,3,1001308_skilltalk1,,,,1001308_skilltalk5,1001308_skilltalk6
1001309,Brandon Lowen,???·??,hero_brandon_lowen,3,1001309_skilltalk1,,,,1001309_skilltalk5,1001309_skilltalk6
1001310,Catherine Cartier,???·???,hero_catherine_cartier,3,1001310_skilltalk1,,,,1001310_skilltalk5,1001310_skilltalk6
1001311,Sara Vaughan,??·??,hero_sarah_vaughan,3,1001311_skilltalk1,,,,1001311_skilltalk5,1001311_skilltalk6
1001312,Catarina,??·??,hero_annie_reed,3,1001204_skilltalk1,,,,1001204_skilltalk5,1001204_skilltalk6
1001313,Ash,??·???,hero_ash,3,1001303_skilltalk1,,,,1001303_skilltalk5,1001303_skilltalk6
1001314,Barbosa,???·??,hero_barbossa,3,1007301_skilltalk1,,,,1001314_skilltalk5,1001314_skilltalk6
1002101,Tribal Warrior,????,hero_barbarian,0,,,,,,
1002102,Druid,???,hero_druid,0,,,,,,
1002201,Harhoff,????,hero_herhoff,3,1002201_skilltalk1,,,,1002201_skilltalk5,1002201_skilltalk6
1002202,Willie,??,hero_verri,3,1002202_skilltalk1,,,,1002202_skilltalk5,1002202_skilltalk6
1002203,Fredith,????,hero_freydis,3,1002203_skilltalk1,,,,1002203_skilltalk5,1002203_skilltalk6
1002301,Angle,???,hero_angel,3,1002301_skilltalk1,,,,1002301_skilltalk5,1002301_skilltalk6
1002302,Eivor,???,hero_aiwal,3,1002302_skilltalk1,,,,1002302_skilltalk5,1002302_skilltalk6
1002303,Vargs,???,hero_waggs,3,1002303_skilltalk1,,,,1002303_skilltalk5,1002303_skilltalk6
1002304,Bjorn,???,hero_bjorn,3,1002304_skilltalk1,,,,1002304_skilltalk5,1002304_skilltalk6
1002305,Fenrir the Wolfking,???·??,hero_fenrir,3,1002305_skilltalk1,,,,1002305_skilltalk5,1002305_skilltalk6
1002306,Hillton,???,hero_hilding,3,1002306_skilltalk1,,,,1002306_skilltalk5,1002306_skilltalk6
1002307,Geyer,??,hero_gail,3,1002307_skilltalk1,,,,1002307_skilltalk5,1002307_skilltalk6
1002308,Tiffen,??,hero_stephen,3,1002308_skilltalk1,,,,1002308_skilltalk5,1002308_skilltalk6
1002309,Ragner,???,hero_ragner,3,1002309_skilltalk1,,,,1002309_skilltalk5,1002309_skilltalk6
1002310,Fenne,??,hero_finner,3,1002310_skilltalk1,,,,1002310_skilltalk5,1002310_skilltalk6
1003101,Murloc Guard,????,hero_murloc,0,,,,,,
1003102,Poisonous Squid,????,hero_cuttlefish,0,,,,,,
1003201,Lockhart,???,hero_roroha,3,1003201_skilltalk1,,,,1003201_skilltalk5,1003201_skilltalk6
1003202,Moana,???,hero_moana,3,1003202_skilltalk1,,,,1003202_skilltalk5,1003202_skilltalk6
1003203,Lugri Bosk,??????,hero_lugribossk,3,1003203_skilltalk1,,,,1003203_skilltalk5,1003203_skilltalk6
