track_index,reward_id,reward_amount,pool_id
0,1,3,1
1,1,66,1
2,2,2003,1
3,1,2003,1
4,3,2003,1
5,1,3,1
6,3,2003,1
7,1,3,1
8,4,2003,1
9,3,2003,1
10,1,2003,1
11,3,2003,1
12,1,3,1
13,2,2003,1
14,3,2003,1
15,4,2003,1
16,1,3,1
17,1,3,1
18,4,2003,1
19,2,3,1
20,1,2003,1
21,1,2003,1
22,4,2003,1
23,2,3,1
24,2,3,1
0,1,66,2
1,2,3,2
2,1,3,2
3,1,3,2
4,4,2003,2
5,1,2003,2
6,4,2003,2
7,3,2003,2
8,2,3,2
9,2,2003,2
10,1,3,2
11,2,2003,2
12,3,2003,2
13,1,3,2
14,1,2003,2
15,1,3,2
16,3,2003,2
17,1,2003,2
18,1,3,2
19,1,2003,2
20,4,2003,2
21,2,3,2
22,3,2003,2
23,4,2003,2
24,3,2003,2
0,3,2003,3
1,3,2003,3
2,2,3,3
3,4,2003,3
4,1,2003,3
5,1,66,3
6,1,2003,3
7,2,2003,3
8,1,3,3
9,1,2003,3
10,4,2003,3
11,2,3,3
12,1,2003,3
13,3,2003,3
14,1,3,3
15,2,3,3
16,2,2003,3
17,4,2003,3
18,3,2003,3
19,1,3,3
20,1,3,3
21,4,2003,3
22,1,3,3
23,3,2003,3
24,1,3,3
