line_id,line_type,line_index,reward_slot,reward_id,reward_amount,pool_id
0,0,0,0,1,66,1
1,0,1,0,2,2003,1
2,0,2,0,3,2003,1
3,0,3,0,4,2003,1
4,0,4,0,1,2003,1
5,1,0,0,2,3,1
6,1,1,0,3,2003,1
7,1,2,0,4,2003,1
8,1,3,0,1,3,1
9,1,4,0,1,2003,1
10,2,0,0,2,2003,1
11,2,1,0,3,2003,1
0,0,0,0,2,2003,2
1,0,1,0,1,3,2
2,0,2,0,4,2003,2
3,0,3,0,1,66,2
4,0,4,0,3,2003,2
5,1,0,0,4,2003,2
6,1,1,0,1,2003,2
7,1,2,0,1,2003,2
8,1,3,0,3,2003,2
9,1,4,0,2,3,2
10,2,0,0,3,2003,2
11,2,1,0,4,2003,2
0,0,0,0,3,2003,3
1,0,1,0,2,3,3
2,0,2,0,1,3,3
3,0,3,0,1,2003,3
4,0,4,0,4,2003,3
5,1,0,0,2,2003,3
6,1,1,0,1,66,3
7,1,2,0,3,2003,3
8,1,3,0,1,2003,3
9,1,4,0,4,2003,3
10,2,0,0,4,2003,3
11,2,1,0,2,2003,3
