collection_id,fish_icon,rate,icon_rarity
0,ic_currency_crystal_a,1,common
1,ic_currency_crystal_a,2,common
2,ic_currency_crystal_a,3,common
3,ic_currency_crystal_a,4,common
4,ic_currency_crystal_a,5,common
5,ic_currency_crystal_a,6,common
6,ic_currency_crystal_a,7,common
7,ic_currency_crystal_a,8,common
8,ic_currency_crystal_a,9,common
9,ic_currency_crystal_a,10,common
10,ic_currency_crystal_a,11,common
11,ic_currency_crystal_a,12,common
12,ic_currency_crystal_a,13,common
13,ic_currency_crystal_a,14,common
14,ic_currency_crystal_a,15,common
15,ic_currency_crystal_a,16,common
16,ic_currency_crystal_a,17,common
17,ic_currency_crystal_a,18,common
18,ic_currency_crystal_a,19,common
19,ic_currency_crystal_a,20,common
