mission_id,event_id,day,slot,title_vi,trigger,target,points,item_id,quantity,limit_reset,sort_order
EVT_NB_D01_M1,1003,1,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D01_M2,1003,1,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D01_M3,1003,1,3,Tiêu diệt 200 quái,KILL_MONSTER,200,30,1,50000,daily,3
EVT_NB_D01_M4,1003,1,4,Cường hóa trang bị 3 lần,ENHANCE_GEAR,3,30,14,20,daily,4
EVT_NB_D01_M5,1003,1,5,Trang bị 1 vũ khí cho anh hùng,EQUIP_ITEM,1,40,3,30,daily,5
EVT_NB_D01_M6,1003,1,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,8,1,daily,6
EVT_NB_D02_M1,1003,2,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D02_M2,1003,2,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D02_M3,1003,2,3,Tiêu diệt 200 quái,KILL_MONSTER,200,30,1,50000,daily,3
EVT_NB_D02_M4,1003,2,4,Lên cấp anh hùng 3 lần,HERO_LEVELUP,3,30,15,5,daily,4
EVT_NB_D02_M5,1003,2,5,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,40,3,30,daily,5
EVT_NB_D02_M6,1003,2,6,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,50,46,1,daily,6
EVT_NB_D03_M1,1003,3,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D03_M2,1003,3,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D03_M3,1003,3,3,Tiêu diệt 200 quái,KILL_MONSTER,200,30,1,50000,daily,3
EVT_NB_D03_M4,1003,3,4,Nâng cấp kỹ năng 1 lần,SKILL_UPGRADE,1,30,16,2,daily,4
EVT_NB_D03_M5,1003,3,5,Vượt ải 5 lần,CLEAR_STAGE_COUNT,5,40,3,30,daily,5
EVT_NB_D03_M6,1003,3,6,Cường hóa trang bị 8 lần,ENHANCE_GEAR,8,50,9,1,daily,6
EVT_NB_D04_M1,1003,4,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D04_M2,1003,4,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D04_M3,1003,4,3,Tiêu diệt 200 quái,KILL_MONSTER,200,30,1,50000,daily,3
EVT_NB_D04_M4,1003,4,4,Cường hóa trang bị 3 lần,ENHANCE_GEAR,3,30,14,20,daily,4
EVT_NB_D04_M5,1003,4,5,Vượt ải 5 lần,CLEAR_STAGE_COUNT,5,40,3,30,daily,5
EVT_NB_D04_M6,1003,4,6,Lên cấp anh hùng 8 lần,HERO_LEVELUP,8,50,8,1,daily,6
EVT_NB_D05_M1,1003,5,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D05_M2,1003,5,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D05_M3,1003,5,3,Tiêu diệt 200 quái,KILL_MONSTER,200,30,1,50000,daily,3
EVT_NB_D05_M4,1003,5,4,Lên cấp anh hùng 3 lần,HERO_LEVELUP,3,30,15,5,daily,4
EVT_NB_D05_M5,1003,5,5,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,40,3,30,daily,5
