pool_id,owner_item_id,owner_item_key,entry_index,result_type,result_id,result_key,amount_type,amount,weight,rate_display,is_jackpot,status
2801,28,diamond_chest,1,item,3,diamond,flat,50,5000,50,0,Active
2801,28,diamond_chest,2,item,3,diamond,flat,200,3000,30,0,Active
2801,28,diamond_chest,3,item,3,diamond,flat,500,1400,14,0,Active
2801,28,diamond_chest,4,item,3,diamond,flat,1000,500,5,0,Active
2801,28,diamond_chest,5,item,3,diamond,flat,10000,95,0.95,0,Active
2801,28,diamond_chest,6,item,3,diamond,flat,100000,5,0.05,1,Active
2701,27,gold_chest,1,item,1,gold,afk_hour,0.5,4000,40,0,Active
2701,27,gold_chest,2,item,1,gold,afk_hour,1,3000,30,0,Active
2701,27,gold_chest,3,item,1,gold,afk_hour,2,2000,20,0,Active
2701,27,gold_chest,4,item,1,gold,afk_hour,5,800,8,0,Active
2701,27,gold_chest,5,item,1,gold,afk_hour,12,190,1.9,0,Active
2701,27,gold_chest,6,item,1,gold,afk_hour,24,10,0.10,1,Active
2901,29,resource_pack,1,item,1,gold,afk_hour,2,,100,0,Active
2901,29,resource_pack,2,item,10,hero_exp,flat,5000,,100,0,Active
2901,29,resource_pack,3,item,14,equipment_upgrade_stone,flat,300,,100,0,Active
2901,29,resource_pack,4,item,15,gear_refinement_stone,flat,100,,100,0,Active
2901,29,resource_pack,5,item,16,breakthrough_stone,flat,20,,100,0,Active
4001,40,offline_reward_chest,1,item,1,gold,afk_hour,2,,100,0,Active
4001,40,offline_reward_chest,2,item,48,user_exp,afk_hour,2,,100,0,Active
4001,40,offline_reward_chest,3,item,2,crystal,afk_hour,2,,100,0,Active
1801,18,equipment_chest,1,gear_rarity,D,gear_D,flat,1,7000,70.00,0,Active
1801,18,equipment_chest,2,gear_rarity,C,gear_C,flat,1,2500,25.00,0,Active
1801,18,equipment_chest,3,gear_rarity,B,gear_B,flat,1,500,5.00,0,Active
1901,19,rare_equipment_chest,1,gear_rarity,D,gear_D,flat,1,3500,35.00,0,Active
1901,19,rare_equipment_chest,2,gear_rarity,C,gear_C,flat,1,4000,40.00,0,Active
1901,19,rare_equipment_chest,3,gear_rarity,B,gear_B,flat,1,2000,20.00,0,Active
1901,19,rare_equipment_chest,4,gear_rarity,A,gear_A,flat,1,500,5.00,0,Active
2001,20,epic_equipment_chest,1,gear_rarity,C,gear_C,flat,1,3000,30.00,0,Active
2001,20,epic_equipment_chest,2,gear_rarity,B,gear_B,flat,1,4000,40.00,0,Active
2001,20,epic_equipment_chest,3,gear_rarity,A,gear_A,flat,1,2500,25.00,0,Active
2001,20,epic_equipment_chest,4,gear_rarity,S,gear_S,flat,1,500,5.00,1,Active
2101,21,legendary_equipment_chest,1,gear_rarity,B,gear_B,flat,1,2500,25.00,0,Active
2101,21,legendary_equipment_chest,2,gear_rarity,A,gear_A,flat,1,4500,45.00,0,Active
2101,21,legendary_equipment_chest,3,gear_rarity,S,gear_S,flat,1,2500,25.00,0,Active
2101,21,legendary_equipment_chest,4,gear_rarity,SS,gear_SS,flat,1,500,5.00,1,Active
5201,52,random_heroes_legend,1,hero_rarity,Legendary,hero_legendary,flat,1,10000,100.00,0,Active
5301,53,random_gear_ss,1,gear_rarity,SS,gear_SS,flat,1,10000,100.00,0,Active
5401,54,random_skill_ss,1,skill_rarity,SS,skill_SS,flat,1,10000,100.00,0,Active
