ID,ProductID,name_vi,shop_tab,event_id,sort_order,item_id_1,quantity_1,item_id_2,quantity_2,item_id_3,quantity_3,bonus,limit,icon_id,isHot,IsBestValue,Enable,pack_type,drip_days,limit_reset,milestone_points
17,1,ui_event_pack_wheel_1,event_tab,1001,1,51,1,,,,,0%,1,icon_event_pass,1,0,1,event_pass,0,none,0
18,2,ui_event_pack_wheel_2,event_tab,1001,1,49,120,0,0,0,0,500%,5,icon_ev_silver_s,0,0,1,normal,0,daily,1
19,5,ui_event_pack_wheel_3,event_tab,1001,2,49,650,0,0,0,0,550%,3,icon_ev_silver_l,1,0,1,normal,0,weekly,5
20,3,ui_event_pack_wheel_4,event_tab,1001,3,50,80,0,0,0,0,450%,5,icon_ev_gold_s,0,0,1,normal,0,daily,2
21,8,ui_event_pack_wheel_5,event_tab,1001,4,50,440,0,0,0,0,500%,3,icon_ev_gold_l,1,0,1,normal,0,weekly,20
22,2,ui_event_pack_wheel_6,event_tab,1001,5,51,3000,0,0,0,0,500%,5,icon_ev_point_s,0,0,1,normal,0,daily,1
23,5,ui_event_pack_wheel_7,event_tab,1001,6,51,16000,0,0,0,0,550%,3,icon_ev_point_l,0,0,1,normal,0,weekly,5
24,6,ui_event_pack_wheel_8,event_tab,1001,7,49,300,50,150,51,3000,650%,3,icon_ev_combo,1,0,1,normal,0,weekly,10
25,,ui_event_pack_bl_1,event_tab,1001,8,49,1000,50,600,51,15000,600%,1,icon_ev_allin,1,1,1,normal,0,monthly,50
26,2,ui_event_pack_bl_2,event_tab,1002,1,3,300,47,1,1,50000,100%,5,icon_bl_pack_01,0,0,1,normal,0,none,1
27,3,ui_event_pack_bl_3,bl_event_tab,1002,2,3,680,47,2,1,100000,100%,5,icon_bl_pack_02,1,0,1,normal,0,none,2
28,4,ui_event_pack_bl_4,bl_event_tab,1002,3,3,1280,47,5,1,150000,100%,5,icon_bl_pack_03,0,0,1,normal,0,none,3
29,5,ui_event_pack_bl_5,bl_event_tab,1002,4,3,1980,47,5,16,200,100%,3,icon_bl_pack_04,0,0,1,normal,0,none,5
30,6,ui_event_pack_bl_6,bl_event_tab,1002,5,3,3280,47,10,1,300000,100%,3,icon_bl_pack_05,0,0,1,normal,0,none,10
31,8,ui_event_pack_bl_7,bl_event_tab,1002,6,3,6480,47,10,56,20,100%,2,icon_bl_pack_06,0,0,1,normal,0,none,20
32,10,ui_event_pack_bl_8,bl_event_tab,1002,7,3,9980,47,15,56,40,100%,2,icon_bl_pack_07,1,0,1,normal,0,none,30
33,12,ui_event_pack_bl_9,bl_event_tab,1002,8,3,19800,47,30,3,1,100%,1,icon_bl_pack_08,1,1,1,normal,0,none,40
35,2,ui_event_pack_bl_10,bl_checkin_tab,1002,1,3,600,47,1,0,0,0%,1,icon_bl_ck_d1,0,0,1,checkin,1,none,1
36,2,ui_event_pack_bl_11,bl_checkin_tab,1002,2,47,2,3,200,0,0,0%,1,icon_bl_ck_d2,0,0,1,checkin,2,none,1
37,3,ui_event_pack_bl_12,bl_checkin_tab,1002,3,3,500,56,3,0,0,0%,1,icon_bl_ck_d3,0,0,1,checkin,3,none,2
38,3,ui_event_pack_bl_13,bl_checkin_tab,1002,4,20,1,47,2,0,0,0%,1,icon_bl_ck_d4,0,0,1,checkin,4,none,2
39,4,ui_event_pack_bl_14,bl_checkin_tab,1002,5,47,5,56,5,0,0,0%,1,icon_bl_ck_d5,1,0,1,checkin,5,none,3
40,4,ui_event_pack_bl_15,bl_checkin_tab,1002,6,3,1000,16,100,0,0,0%,1,icon_bl_ck_d6,0,0,1,checkin,6,none,3
41,5,ui_event_pack_bl_16,bl_checkin_tab,1002,7,56,20,21,1,47,3,0%,1,icon_bl_ck_d7,1,1,1,checkin,7,none,5
