Level,Avg Artifact Level,Cost,D,C,B,A,S,SS,SSS,R,SR
1,3,800,80.00,18.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2,6,1040,75.00,21.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
3,9,1350,70.00,24.00,5.50,0.50,0.00,0.00,0.00,0.00,0.00
4,12,1760,65.00,27.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00
5,15,2280,60.00,30.00,8.50,1.50,0.00,0.00,0.00,0.00,0.00
6,18,2970,55.00,33.00,10.00,2.00,0.00,0.00,0.00,0.00,0.00
7,21,3860,50.00,36.00,11.50,2.50,0.00,0.00,0.00,0.00,0.00
8,24,5020,50.00,39.00,13.00,3.00,0.00,0.00,0.00,0.00,0.00
9,27,6530,40.00,42.00,14.50,3.50,0.00,0.00,0.00,0.00,0.00
10,30,8490,35.00,45.00,16.00,4.00,0.00,0.00,0.00,0.00,0.00
11,35,11040,30.00,48.00,17.00,4.80,0.20,0.00,0.00,0.00,0.00
12,40,14350,25.00,50.00,19.00,5.50,0.50,0.00,0.00,0.00,0.00
13,45,18660,20.00,52.00,21.00,6.20,0.80,0.00,0.00,0.00,0.00
14,50,24260,15.00,54.00,23.00,7.00,1.00,0.00,0.00,0.00,0.00
15,55,31530,10.00,56.00,25.00,7.80,1.20,0.00,0.00,0.00,0.00
16,60,40990,5.00,58.00,27.00,8.60,1.40,0.00,0.00,0.00,0.00
17,65,53290,0.00,60.00,29.00,9.30,1.70,0.00,0.00,0.00,0.00
18,70,69280,0.00,55.00,33.00,10.00,2.00,0.00,0.00,0.00,0.00
19,75,90060,0.00,50.00,37.00,10.70,2.30,0.00,0.00,0.00,0.00
20,80,117080,0.00,45.00,41.00,11.50,2.50,0.00,0.00,0.00,0.00
21,85,152200,0.00,40.00,44.00,13.00,3.00,0.00,0.00,0.00,0.00
22,90,197860,0.00,35.00,47.00,14.50,3.50,0.00,0.00,0.00,0.00
23,95,257220,0.00,30.00,50.00,16.00,4.00,0.00,0.00,0.00,0.00
24,100,334390,0.00,25.00,53.00,17.50,4.50,0.00,0.00,0.00,0.00
25,105,434710,0.00,20.00,56.00,19.00,5.00,0.00,0.00,0.00,0.00
26,110,565120,0.00,15.00,59.00,20.50,5.50,0.00,0.00,0.00,0.00
27,115,734660,0.00,10.00,62.00,22.00,6.00,0.00,0.00,0.00,0.00
28,120,955060,0.00,5.00,65.00,23.50,6.50,0.00,0.00,0.00,0.00
29,125,1240000,0.00,0.00,68.00,25.00,7.00,0.00,0.00,0.00,0.00
30,130,1620000,0.00,0.00,65.00,26.00,8.50,0.50,0.00,0.00,0.00
31,135,2100000,0.00,0.00,63.00,27.00,9.20,0.80,0.00,0.00,0.00
32,140,2730000,0.00,0.00,61.00,28.00,10.00,1.00,0.00,0.00,0.00
33,145,3550000,0.00,0.00,59.00,29.00,10.80,1.20,0.00,0.00,0.00
34,150,4620000,0.00,0.00,57.00,30.00,11.50,1.50,0.00,0.00,0.00
35,155,6000000,0.00,0.00,55.00,31.00,12.00,1.80,0.20,0.00,0.00
36,160,7800000,0.00,0.00,54.00,32.00,11.80,2.00,0.20,0.00,0.00
37,165,10140000,0.00,0.00,53.00,33.00,11.50,2.20,0.30,0.00,0.00
38,170,13180000,0.00,0.00,52.00,34.00,11.20,2.40,0.40,0.00,0.00
39,175,17140000,0.00,0.00,51.00,35.00,11.00,2.50,0.50,0.00,0.00
40,180,22280000,0.00,0.00,50.00,36.00,10.80,2.60,0.60,0.00,0.00
41,185,28960000,0.00,0.00,49.00,36.50,11.00,2.80,0.70,0.00,0.00
42,190,37650000,0.00,0.00,48.00,37.00,11.10,3.00,0.90,0.00,0.00
43,195,48950000,0.00,0.00,47.00,37.50,11.20,3.20,1.10,0.00,0.00
44,200,63640000,0.00,0.00,46.00,38.00,11.30,3.40,1.30,0.00,0.00
45,205,82730000,0.00,0.00,45.00,38.50,11.40,3.60,1.50,0.00,0.00
46,210,107550000,0.00,0.00,44.00,39.00,11.50,3.80,1.70,0.00,0.00
47,215,139820000,0.00,0.00,43.00,39.50,11.60,4.00,1.90,0.00,0.00
48,220,181770000,0.00,0.00,42.00,40.00,11.70,4.20,2.10,0.00,0.00
49,225,236300000,0.00,0.00,41.00,40.50,11.80,4.40,2.30,0.00,0.00
50,230,307190000,0.00,0.00,40.00,41.00,11.90,4.60,2.50,0.00,0.00
51,235,399350000,0.00,0.00,39.00,41.50,12.00,4.80,2.70,0.10,0.00
52,240,519160000,0.00,0.00,38.00,42.00,12.00,5.00,2.90,0.10,0.00
53,245,674910000,0.00,0.00,37.00,42.50,12.00,5.20,3.10,0.20,0.00
54,250,877380000,0.00,0.00,36.00,43.00,12.00,5.40,3.30,0.30,0.00
55,255,1140000000,0.00,0.00,35.00,43.50,12.00,5.60,3.50,0.40,0.00
56,260,1480000000,0.00,0.00,34.00,44.00,12.00,5.80,3.70,0.50,0.00
57,265,1920000000,0.00,0.00,33.00,44.50,12.00,6.00,3.90,0.60,0.00
58,270,2500000000,0.00,0.00,32.00,45.00,12.00,6.20,4.10,0.70,0.00
59,275,3250000000,0.00,0.00,31.00,45.50,12.00,6.40,4.30,0.80,0.00
60,280,4230000000,0.00,0.00,30.00,46.00,12.00,6.60,4.40,1.00,0.00
61,285,5490000000,0.00,0.00,29.00,46.30,12.10,6.80,4.70,1.10,0.00
62,290,7140000000,0.00,0.00,28.00,46.60,12.20,7.00,5.00,1.20,0.00
63,295,9280000000,0.00,0.00,27.00,46.90,12.30,7.20,5.30,1.30,0.00
64,300,12060000000,0.00,0.00,26.00,47.20,12.40,7.40,5.60,1.40,0.00
65,305,15680000000,0.00,0.00,25.00,47.50,12.50,7.60,5.90,1.50,0.00
66,310,20390000000,0.00,0.00,24.00,47.80,12.60,7.80,6.20,1.60,0.00
67,315,26510000000,0.00,0.00,23.00,48.10,12.70,8.00,6.50,1.70,0.00
68,320,34460000000,0.00,0.00,22.00,48.40,12.80,8.20,6.80,1.80,0.00
69,325,44800000000,0.00,0.00,21.00,48.70,12.90,8.40,7.00,2.00,0.00
70,330,58240000000,0.00,0.00,20.00,49.00,13.00,8.60,7.20,2.20,0.00
71,335,75710000000,0.00,0.00,19.00,49.20,13.10,8.80,7.50,2.40,0.00
72,340,98420000000,0.00,0.00,18.00,49.40,13.20,9.00,7.80,2.60,0.00
73,345,127950000000,0.00,0.00,17.00,49.60,13.30,9.20,8.10,2.80,0.00
74,350,166340000000,0.00,0.00,16.00,49.80,13.40,9.40,8.40,3.00,0.00
75,355,216240000000,0.00,0.00,15.00,50.00,13.50,9.60,8.70,3.20,0.00
76,360,281110000000,0.00,0.00,14.00,50.00,13.70,9.90,9.00,3.40,0.00
77,365,365440000000,0.00,0.00,13.00,50.00,13.90,10.20,9.30,3.60,0.00
78,370,475070000000,0.00,0.00,12.00,50.00,14.10,10.50,9.60,3.80,0.00
79,375,617590000000,0.00,0.00,11.00,50.00,14.30,10.80,9.90,4.00,0.00
80,380,802870000000,0.00,0.00,10.00,50.00,14.50,11.10,10.10,4.30,0.00
81,385,1040000000000,0.00,0.00,9.00,49.80,14.70,11.30,10.40,4.50,0.30
82,390,1350000000000,0.00,0.00,8.50,49.60,14.90,11.50,10.70,4.50,0.30
83,395,1750000000000,0.00,0.00,8.00,49.40,15.10,11.70,11.00,4.50,0.30
84,400,2280000000000,0.00,0.00,7.50,49.20,15.30,11.90,11.30,4.50,0.30
85,405,2960000000000,0.00,0.00,7.00,49.00,15.50,12.10,11.60,4.50,0.30
86,410,3850000000000,0.00,0.00,6.50,48.80,15.70,12.30,11.90,4.50,0.30
87,415,5000000000000,0.00,0.00,6.00,48.60,15.90,12.50,12.20,4.50,0.30
88,420,6500000000000,0.00,0.00,5.50,48.40,16.10,12.70,12.50,4.50,0.30
89,425,8450000000000,0.00,0.00,5.00,48.20,16.30,12.90,12.80,4.50,0.30
90,430,10990000000000,0.00,0.00,4.50,48.00,16.50,13.10,13.10,4.50,0.30
91,435,14280000000000,0.00,0.00,4.00,47.80,16.70,13.30,13.40,4.50,0.30
92,440,18570000000000,0.00,0.00,3.50,47.60,16.90,13.50,13.70,4.50,0.30
93,445,24140000000000,0.00,0.00,3.00,47.40,17.10,13.70,14.00,4.50,0.30
94,450,31380000000000,0.00,0.00,2.50,47.20,17.30,13.90,14.30,4.50,0.30
95,455,40790000000000,0.00,0.00,2.00,47.00,17.50,14.10,14.60,4.50,0.30
96,460,53030000000000,0.00,0.00,1.80,46.80,17.70,14.30,14.90,4.20,0.30
97,465,68940000000000,0.00,0.00,1.60,46.60,17.90,14.50,15.20,3.90,0.30
98,470,89620000000000,0.00,0.00,1.40,46.40,18.10,14.70,15.50,3.60,0.30
99,475,116500000000000,0.00,0.00,1.20,46.20,18.30,14.90,15.80,3.30,0.30
100,480,151450000000000,0.00,0.00,1.00,46.00,18.50,15.10,16.10,3.00,0.30
