item_id,item_key,item_type,item_group,item_name,desc,rarity,is_currency,is_stackable,max_stack,use_type,icon_key,sort_order,status
1,gold,Currency,SoftCurrency,Gold,"Soft currency dùng để nâng cấp hero, equipment và mua vật phẩm thường",D,TRUE,TRUE,999999999,Resource,icon_gold,1,Active
2,crystal,Currency,PremiumCurrency,Crystal,Premium currency cao cấp dùng cho summon đặc biệt và shop giới hạn,A,TRUE,TRUE,999999999,Resource,icon_crystal,2,Active
3,diamond,Currency,PremiumCurrency,Diamond,"Premium currency dùng để summon, mua vật phẩm hiếm và tăng tốc tiến trình",B,TRUE,TRUE,999999999,Resource,icon_diamond,3,Active
4,energy,Currency,Stamina,Energy,"Dùng để tham gia dungeon, boss challenge và activity đặc biệt",D,TRUE,TRUE,999999,Resource,icon_energy,4,Active
5,arena_token,Currency,ShopToken,Arena Token,Token nhận từ Arena PvP dùng trong Arena Shop,C,TRUE,TRUE,999999999,Resource,icon_arena_token,5,Active
6,guild_coin,Currency,ShopToken,Guild Coin,Coin nhận từ Guild Boss và Guild Event dùng trong Guild Shop,C,TRUE,TRUE,999999999,Resource,icon_guild_coin,6,Active
7,event_token,Currency,EventCurrency,Event Token,Token giới hạn thời gian dùng để đổi reward trong Event Shop,C,TRUE,TRUE,999999999,Resource,icon_event_token,7,Active
8,summon_ticket_hero,Gacha,Ticket,Summon Ticket Heroes,Vé summon hero trong banner thường,C,FALSE,TRUE,999999,Consume,icon_summon_ticket,8,Active
9,summon_ticket_weapon,Gacha,Ticket,Summon Ticket Weapon,Vé summon weapon,B,FALSE,TRUE,999999,Consume,icon_summon_ticket_weapon,9,Active
10,hero_exp,Resource,HeroGrowth,Hero EXP,Tài nguyên dùng để tăng level hero,D,FALSE,TRUE,999999999,Consume,icon_hero_exp,10,Active
11,hero_fragment,Resource,HeroFragment,Hero Fragment,Mảnh hero dùng để mở khóa hoặc nâng sao hero,C,FALSE,TRUE,999999,Consume,icon_hero_fragment,11,Active
12,epic_hero_fragment,Resource,HeroFragment,Epic Hero Fragment,Mảnh hero Epic dùng để tiến hóa hero cấp Epic,B,FALSE,TRUE,999999,Consume,icon_epic_hero_fragment,12,Active
13,legendary_hero_fragment,Resource,HeroFragment,Legendary Hero Fragment,Mảnh hero Legendary dùng để tiến hóa hero cao cấp,A,FALSE,TRUE,999999,Consume,icon_legendary_hero_fragment,13,Active
14,equipment_upgrade_stone,Upgrade,EquipmentUpgrade,Equipment Upgrade Stone,Nguyên liệu nâng cấp level trang bị,D,FALSE,TRUE,9999999,Consume,icon_equipment_upgrade_stone,14,Active
15,gear_refinement_stone,Upgrade,EquipmentRefine,Gear Refinement Stone,Nguyên liệu refine hoặc enhance trang bị,C,FALSE,TRUE,9999999,Consume,icon_gear_refinement_stone,15,Active
16,breakthrough_stone,Upgrade,HeroBreakthrough,Breakthrough Stone,Nguyên liệu dùng để breakthrough hero,B,FALSE,TRUE,9999999,Consume,icon_breakthrough_stone,16,Active
